min_angle,max_angle,radiation,view,img
40,77,140.12,-54.66,https://code4architecture.github.io/DesignExplorer---Data/img_131.png
15,84,107.31,-42.34,https://code4architecture.github.io/DesignExplorer---Data/img_132.png
15,73,97.84,-37.98,https://code4architecture.github.io/DesignExplorer---Data/img_133.png
37,78,136.25,-53.25,https://code4architecture.github.io/DesignExplorer---Data/img_134.png
40,85,147.49,-57.83,https://code4architecture.github.io/DesignExplorer---Data/img_135.png
37,60,118.51,-46.11,https://code4architecture.github.io/DesignExplorer---Data/img_136.png
11,61,83.44,-30.81,https://code4architecture.github.io/DesignExplorer---Data/img_137.png
40,83,145.35,-57.04,https://code4architecture.github.io/DesignExplorer---Data/img_138.png
16,87,111.45,-44.13,https://code4architecture.github.io/DesignExplorer---Data/img_139.png
37,83,140.99,-55.23,https://code4architecture.github.io/DesignExplorer---Data/img_140.png
12,62,85.34,-31.81,https://code4architecture.github.io/DesignExplorer---Data/img_141.png
37,75,133.59,-52.06,https://code4architecture.github.io/DesignExplorer---Data/img_142.png
31,75,123.32,-48.44,https://code4architecture.github.io/DesignExplorer---Data/img_143.png
17,86,112.07,-44.34,https://code4architecture.github.io/DesignExplorer---Data/img_144.png
38,85,144.24,-56.62,https://code4architecture.github.io/DesignExplorer---Data/img_145.png
14,62,87.63,-33.02,https://code4architecture.github.io/DesignExplorer---Data/img_146.png
14,84,105.95,-41.74,https://code4architecture.github.io/DesignExplorer---Data/img_147.png
37,77,135.36,-52.85,https://code4architecture.github.io/DesignExplorer---Data/img_148.png
29,73,117.97,-46.44,https://code4architecture.github.io/DesignExplorer---Data/img_149.png
15,67,93.27,-35.61,https://code4architecture.github.io/DesignExplorer---Data/img_150.png
37,73,131.55,-51.27,https://code4architecture.github.io/DesignExplorer---Data/img_151.png
10,85,101.6,-39.72,https://code4architecture.github.io/DesignExplorer---Data/img_152.png
36,60,116.96,-45.51,https://code4architecture.github.io/DesignExplorer---Data/img_153.png
39,82,143.18,-56.04,https://code4architecture.github.io/DesignExplorer---Data/img_154.png
28,73,116.48,-45.83,https://code4architecture.github.io/DesignExplorer---Data/img_155.png
10,83,99.94,-38.93,https://code4architecture.github.io/DesignExplorer---Data/img_156.png
30,73,119.69,-47.04,https://code4architecture.github.io/DesignExplorer---Data/img_157.png
11,85,102.87,-40.32,https://code4architecture.github.io/DesignExplorer---Data/img_158.png
39,73,134.99,-52.47,https://code4architecture.github.io/DesignExplorer---Data/img_159.png
16,60,88.35,-33.44,https://code4architecture.github.io/DesignExplorer---Data/img_160.png
10,82,99.26,-38.53,https://code4architecture.github.io/DesignExplorer---Data/img_161.png
33,73,124.63,-48.85,https://code4architecture.github.io/DesignExplorer---Data/img_162.png
15,90,112.56,-44.72,https://code4architecture.github.io/DesignExplorer---Data/img_163.png
12,74,95.09,-36.57,https://code4architecture.github.io/DesignExplorer---Data/img_164.png
32,71,120.91,-47.45,https://code4architecture.github.io/DesignExplorer---Data/img_165.png
14,72,95.93,-36.98,https://code4architecture.github.io/DesignExplorer---Data/img_166.png
37,72,130.56,-50.87,https://code4architecture.github.io/DesignExplorer---Data/img_167.png
14,88,109.39,-43.32,https://code4architecture.github.io/DesignExplorer---Data/img_168.png
16,79,104.2,-40.96,https://code4architecture.github.io/DesignExplorer---Data/img_169.png
10,72,91.2,-34.57,https://code4architecture.github.io/DesignExplorer---Data/img_170.png
36,85,141.13,-55.42,https://code4architecture.github.io/DesignExplorer---Data/img_171.png
32,72,121.99,-47.85,https://code4architecture.github.io/DesignExplorer---Data/img_172.png
16,88,112.37,-44.53,https://code4architecture.github.io/DesignExplorer---Data/img_173.png
29,60,105.91,-41.28,https://code4architecture.github.io/DesignExplorer---Data/img_174.png
12,72,93.52,-35.78,https://code4architecture.github.io/DesignExplorer---Data/img_175.png
10,65,85.54,-31.79,https://code4architecture.github.io/DesignExplorer---Data/img_176.png
27,60,102.7,-40.08,https://code4architecture.github.io/DesignExplorer---Data/img_177.png
36,84,140.25,-55.02,https://code4architecture.github.io/DesignExplorer---Data/img_178.png
38,84,143.35,-56.23,https://code4architecture.github.io/DesignExplorer---Data/img_179.png
39,72,133.95,-52.08,https://code4architecture.github.io/DesignExplorer---Data/img_180.png
12,90,108.61,-42.91,https://code4architecture.github.io/DesignExplorer---Data/img_181.png
11,72,92.31,-35.17,https://code4architecture.github.io/DesignExplorer---Data/img_182.png
18,87,114.26,-45.34,https://code4architecture.github.io/DesignExplorer---Data/img_183.png
11,84,101.96,-39.93,https://code4architecture.github.io/DesignExplorer---Data/img_184.png
36,72,128.92,-50.27,https://code4architecture.github.io/DesignExplorer---Data/img_185.png
40,84,146.44,-57.44,https://code4architecture.github.io/DesignExplorer---Data/img_186.png
10,84,100.72,-39.32,https://code4architecture.github.io/DesignExplorer---Data/img_187.png
12,73,94.32,-36.17,https://code4architecture.github.io/DesignExplorer---Data/img_188.png
36,90,146.01,-57.4,https://code4architecture.github.io/DesignExplorer---Data/img_189.png
10,66,86.37,-32.19,https://code4architecture.github.io/DesignExplorer---Data/img_190.png
17,90,115.58,-45.93,https://code4architecture.github.io/DesignExplorer---Data/img_191.png
40,72,135.59,-52.68,https://code4architecture.github.io/DesignExplorer---Data/img_192.png
18,73,101.68,-39.79,https://code4architecture.github.io/DesignExplorer---Data/img_193.png
12,71,92.64,-35.38,https://code4architecture.github.io/DesignExplorer---Data/img_194.png
19,74,103.8,-40.79,https://code4architecture.github.io/DesignExplorer---Data/img_195.png
35,72,127.03,-49.66,https://code4architecture.github.io/DesignExplorer---Data/img_196.png
15,60,87.17,-32.83,https://code4architecture.github.io/DesignExplorer---Data/img_197.png
19,60,92.14,-35.25,https://code4architecture.github.io/DesignExplorer---Data/img_198.png
16,90,114.03,-45.32,https://code4architecture.github.io/DesignExplorer---Data/img_199.png
18,90,116.97,-46.53,https://code4architecture.github.io/DesignExplorer---Data/img_200.png
